"date","geography","geography code","Rural Urban","Sex: All persons; Occupation: All categories: Occupation; measures: Value","Sex: All persons; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: All persons; Occupation: 2. Professional occupations; measures: Value","Sex: All persons; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: All persons; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: All persons; Occupation: 5. Skilled trades occupations; measures: Value","Sex: All persons; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: All persons; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: All persons; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: All persons; Occupation: 9. Elementary occupations; measures: Value","Sex: Males; Occupation: All categories: Occupation; measures: Value","Sex: Males; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: Males; Occupation: 2. Professional occupations; measures: Value","Sex: Males; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: Males; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: Males; Occupation: 5. Skilled trades occupations; measures: Value","Sex: Males; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: Males; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: Males; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: Males; Occupation: 9. Elementary occupations; measures: Value","Sex: Females; Occupation: All categories: Occupation; measures: Value","Sex: Females; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: Females; Occupation: 2. Professional occupations; measures: Value","Sex: Females; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: Females; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: Females; Occupation: 5. Skilled trades occupations; measures: Value","Sex: Females; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: Females; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: Females; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: Females; Occupation: 9. Elementary occupations; measures: Value"
"2011","Epsom and Ewell","E07000208","Total",38005,4923,8696,5898,5055,3588,3275,2539,1527,2504,19954,3286,4579,3432,1020,3270,651,938,1392,1386,18051,1637,4117,2466,4035,318,2624,1601,135,1118
"2011","Guildford","E07000209","Total",70021,9551,17168,11221,7200,6623,5452,4881,2488,5437,37615,6523,9245,6696,1426,5824,949,1868,2214,2870,32406,3028,7923,4525,5774,799,4503,3013,274,2567
"2011","Mole Valley","E07000210","Total",42422,6422,9518,6613,5045,4505,3678,2326,1495,2820,22571,4377,5095,3760,979,3999,630,892,1320,1519,19851,2045,4423,2853,4066,506,3048,1434,175,1301
"2011","Reigate and Banstead","E07000211","Total",71236,9835,14701,11262,9125,6869,6728,4531,3093,5092,37728,6594,7768,6508,1957,6147,1341,1704,2822,2887,33508,3241,6933,4754,7168,722,5387,2827,271,2205
"2011","Runnymede","E07000212","Total",40651,5464,7676,5848,5034,4255,3649,3023,1990,3712,21477,3627,3977,3334,1047,3790,692,1108,1816,2086,19174,1837,3699,2514,3987,465,2957,1915,174,1626
"2011","Spelthorne","E07000213","Total",50161,5868,8175,7420,7607,5200,4448,3714,3215,4514,26489,3830,4333,4208,1752,4693,755,1306,2966,2646,23672,2038,3842,3212,5855,507,3693,2408,249,1868
"2011","Surrey Heath","E07000214","Total",44968,6957,9137,7253,5440,4315,3808,2994,1864,3200,24164,4820,5001,4296,1034,3846,601,1077,1680,1809,20804,2137,4136,2957,4406,469,3207,1917,184,1391
"2011","Tandridge","E07000215","Total",41813,6527,7870,6536,5367,4700,4050,2432,1715,2616,21975,4350,4101,3806,966,4192,729,887,1538,1406,19838,2177,3769,2730,4401,508,3321,1545,177,1210
"2011","Waverley","E07000216","Total",59178,9368,14132,8980,6161,6134,4920,3541,1887,4055,31643,6430,7536,5189,1125,5361,875,1406,1658,2063,27535,2938,6596,3791,5036,773,4045,2135,229,1992
"2011","Woking","E07000217","Total",51341,6879,11765,7692,6010,4594,4342,3760,2456,3843,28025,4671,6633,4487,1314,4156,793,1552,2234,2185,23316,2208,5132,3205,4696,438,3549,2208,222,1658
"2011","Adur","E07000223","Total",29356,3153,4232,3644,3419,4053,3412,2800,1952,2691,15301,2023,2049,2013,703,3711,591,943,1730,1538,14055,1130,2183,1631,2716,342,2821,1857,222,1153
"2011","Arun","E07000224","Total",67443,7843,8944,7456,7698,9014,8231,5511,4696,8050,34913,5019,4292,4269,1440,8045,1561,1942,4000,4345,32530,2824,4652,3187,6258,969,6670,3569,696,3705
"2011","Chichester","E07000225","Total",53285,7586,9983,6957,5219,6862,5170,3711,2477,5320,27815,5012,4801,4064,902,5978,850,1267,2120,2821,25470,2574,5182,2893,4317,884,4320,2444,357,2499
"2011","Crawley","E07000226","Total",55466,5035,6807,6653,6853,5203,6665,5886,4384,7980,29560,3276,3897,3895,1612,4637,1638,2015,3967,4623,25906,1759,2910,2758,5241,566,5027,3871,417,3357
"2011","Horsham","E07000227","Total",66299,9358,12684,9836,7854,7385,6421,4561,2861,5339,34830,6317,6719,5786,1529,6518,1071,1606,2550,2734,31469,3041,5965,4050,6325,867,5350,2955,311,2605
"2011","Mid Sussex","E07000228","Total",72229,9618,14062,10997,8784,7413,7698,4905,3091,5661,38103,6505,7401,6610,1916,6598,1370,1795,2784,3124,34126,3113,6661,4387,6868,815,6328,3110,307,2537
"2011","Worthing","E07000229","Total",50611,5437,8604,6735,6159,5668,5968,4665,2785,4590,26218,3522,4188,3881,1508,5098,1155,1790,2434,2642,24393,1915,4416,2854,4651,570,4813,2875,351,1948
"2011","Bath and North East Somerset","E06000022","Total",84858,9698,18637,10587,9295,9473,7249,6850,4380,8689,44083,6215,9510,5951,1986,8294,1323,2367,3895,4542,40775,3483,9127,4636,7309,1179,5926,4483,485,4147
"2011","Bournemouth","E06000028","Total",89186,9926,14625,11366,9541,10134,9200,9288,5005,10101,47594,6285,7525,6622,2283,9214,1970,3654,4384,5657,41592,3641,7100,4744,7258,920,7230,5634,621,4444
"2011","Bristol, City of","E06000023","Total",209995,18103,47493,28688,23299,20104,17934,18315,12107,23952,110813,11221,24455,15853,6185,17872,3922,6859,10996,13450,99182,6882,23038,12835,17114,2232,14012,11456,1111,10502
"2011","Cornwall","E06000052","Total",244527,27985,33767,25455,23320,41511,25798,20094,17369,29228,127776,16412,14922,15051,4068,36436,4402,6501,14934,15050,116751,11573,18845,10404,19252,5075,21396,13593,2435,14178
"2011","Isles of Scilly","E06000053","Total",1311,261,121,118,110,258,143,56,71,173,694,126,45,81,15,225,32,20,59,91,617,135,76,37,95,33,111,36,12,82
"2011","North Somerset","E06000024","Total",97563,11897,16808,12908,11305,11026,9592,8534,6114,9379,51037,7794,8639,7580,2198,9801,1497,2933,5410,5185,46526,4103,8169,5328,9107,1225,8095,5601,704,4194
"2011","Plymouth","E06000026","Total",117466,9508,16170,14638,13201,15317,12914,12497,8647,14574,61712,5959,7603,9372,3028,13943,2222,4350,7382,7853,55754,3549,8567,5266,10173,1374,10692,8147,1265,6721
"2011","Poole","E06000029","Total",71709,8343,11824,8611,8468,9427,6648,6518,4711,7159,38189,5491,5965,5072,1715,8612,1096,2276,4032,3930,33520,2852,5859,3539,6753,815,5552,4242,679,3229
"2011","South Gloucestershire","E06000025","Total",136531,14169,23682,16740,19070,16781,11637,12497,8650,13305,72052,9394,12854,9725,3881,15312,1708,4142,7879,7157,64479,4775,10828,7015,15189,1469,9929,8355,771,6148
"2011","Swindon","E06000030","Total",109499,10444,17031,13782,13094,11704,8890,10481,9633,14440,59034,6849,9411,7803,2876,10567,1359,3329,8478,8362,50465,3595,7620,5979,10218,1137,7531,7152,1155,6078
"2011","Torbay","E06000027","Total",56912,6758,7004,5799,5814,8077,7282,5379,3721,7078,29353,4066,3090,3352,1093,7304,1408,1944,3350,3746,27559,2692,3914,2447,4721,773,5874,3435,371,3332
"2011","Wiltshire","E06000054","Total",239216,29672,39957,34876,26074,29613,21914,17595,15323,24192,128455,19870,20251,22560,5156,25976,3089,5743,13092,12718,110761,9802,19706,12316,20918,3637,18825,11852,2231,11474
"2011","East Devon","E07000040","Total",59908,7280,9181,7317,6136,9190,6415,4822,3176,6391,31355,4496,4366,4640,1054,7972,970,1624,2793,3440,28553,2784,4815,2677,5082,1218,5445,3198,383,2951
"2011","Exeter","E07000041","Total",57139,4777,10975,6645,6483,5828,5559,6367,3357,7148,29331,2999,5350,3836,1522,5150,1071,2362,3025,4016,27808,1778,5625,2809,4961,678,4488,4005,332,3132
"2011","Mid Devon","E07000042","Total",38508,4245,5685,3906,3912,6574,3751,3049,3115,4271,20226,2638,2618,2101,634,5631,548,1009,2702,2345,18282,1607,3067,1805,3278,943,3203,2040,413,1926
"2011","North Devon","E07000043","Total",44754,5219,5886,4559,4019,7773,4533,3747,3295,5723,23675,3114,2677,2858,652,6676,698,1222,2793,2985,21079,2105,3209,1701,3367,1097,3835,2525,502,2738
"2011","South Hams","E07000044","Total",39999,5559,7530,4858,3713,6396,3665,2659,1875,3744,20817,3487,3501,2814,594,5477,554,858,1609,1923,19182,2072,4029,2044,3119,919,3111,1801,266,1821
"2011","Teignbridge","E07000045","Total",58962,7177,9643,6666,6063,8364,6334,5000,3756,5959,30456,4449,4407,3813,1130,7365,1116,1687,3301,3188,28506,2728,5236,2853,4933,999,5218,3313,455,2771
"2011","Torridge","E07000046","Total",29402,3047,3353,2410,2614,6360,3468,2256,2343,3551,15550,1726,1511,1381,375,5462,514,715,2033,1833,13852,1321,1842,1029,2239,898,2954,1541,310,1718
"2011","West Devon","E07000047","Total",25241,3043,4337,2640,2329,4375,2515,1629,1637,2736,13105,1824,2025,1542,375,3630,403,557,1407,1342,12136,1219,2312,1098,1954,745,2112,1072,230,1394
"2011","Christchurch","E07000048","Total",20301,2499,3360,2338,2448,2736,2060,1827,1085,1948,10666,1630,1677,1354,445,2524,317,667,974,1078,9635,869,1683,984,2003,212,1743,1160,111,870
"2011","East Dorset","E07000049","Total",40050,5647,6872,4945,4969,5389,3666,3027,2070,3465,21088,3815,3572,2929,779,4865,502,1078,1802,1746,18962,1832,3300,2016,4190,524,3164,1949,268,1719
"2011","North Dorset","E07000050","Total",33432,3773,4859,4429,3209,5504,3166,2144,2414,3934,18230,2483,2384,2869,518,4835,427,704,2003,2007,15202,1290,2475,1560,2691,669,2739,1440,411,1927
