"date","geography","geography code","Rural Urban","Sex: All persons; Industry: All categories: Industry; measures: Value","Sex: All persons; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: All persons; Industry: B Mining and quarrying; measures: Value","Sex: All persons; Industry: C Manufacturing; measures: Value","Sex: All persons; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: All persons; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: All persons; Industry: F Construction; measures: Value","Sex: All persons; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: All persons; Industry: H Transport and storage; measures: Value","Sex: All persons; Industry: I Accommodation and food service activities; measures: Value","Sex: All persons; Industry: J Information and communication; measures: Value","Sex: All persons; Industry: K Financial and insurance activities; measures: Value","Sex: All persons; Industry: L Real estate activities; measures: Value","Sex: All persons; Industry: M Professional, scientific and technical activities; measures: Value","Sex: All persons; Industry: N Administrative and support service activities; measures: Value","Sex: All persons; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: All persons; Industry: P Education; measures: Value","Sex: All persons; Industry: Q Human health and social work activities; measures: Value","Sex: All persons; Industry: R, S, T, U Other; measures: Value","Sex: Males; Industry: All categories: Industry; measures: Value","Sex: Males; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: Males; Industry: B Mining and quarrying; measures: Value","Sex: Males; Industry: C Manufacturing; measures: Value","Sex: Males; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: Males; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: Males; Industry: F Construction; measures: Value","Sex: Males; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: Males; Industry: H Transport and storage; measures: Value","Sex: Males; Industry: I Accommodation and food service activities; measures: Value","Sex: Males; Industry: J Information and communication; measures: Value","Sex: Males; Industry: K Financial and insurance activities; measures: Value","Sex: Males; Industry: L Real estate activities; measures: Value","Sex: Males; Industry: M Professional, scientific and technical activities; measures: Value","Sex: Males; Industry: N Administrative and support service activities; measures: Value","Sex: Males; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: Males; Industry: P Education; measures: Value","Sex: Males; Industry: Q Human health and social work activities; measures: Value","Sex: Males; Industry: R, S, T, U Other; measures: Value","Sex: Females; Industry: All categories: Industry; measures: Value","Sex: Females; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: Females; Industry: B Mining and quarrying; measures: Value","Sex: Females; Industry: C Manufacturing; measures: Value","Sex: Females; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: Females; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: Females; Industry: F Construction; measures: Value","Sex: Females; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: Females; Industry: H Transport and storage; measures: Value","Sex: Females; Industry: I Accommodation and food service activities; measures: Value","Sex: Females; Industry: J Information and communication; measures: Value","Sex: Females; Industry: K Financial and insurance activities; measures: Value","Sex: Females; Industry: L Real estate activities; measures: Value","Sex: Females; Industry: M Professional, scientific and technical activities; measures: Value","Sex: Females; Industry: N Administrative and support service activities; measures: Value","Sex: Females; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: Females; Industry: P Education; measures: Value","Sex: Females; Industry: Q Human health and social work activities; measures: Value","Sex: Females; Industry: R, S, T, U Other; measures: Value"
"2011","Croydon","E09000008","Total",172987,76,160,5491,442,701,13275,25177,9768,8275,9257,12402,3191,13384,9786,13611,16850,22278,8863,89773,40,96,3852,338,605,11523,13762,7681,4379,6556,6622,1515,7066,5382,6049,4610,5419,4278,83214,36,64,1639,104,96,1752,11415,2087,3896,2701,5780,1676,6318,4404,7562,12240,16859,4585
"2011","Ealing","E09000009","Total",164820,70,276,7753,357,667,13053,23686,12046,11110,13812,6724,2921,14572,11178,6238,14891,16071,9395,90013,48,187,5044,273,577,11566,13317,9066,6077,9087,3914,1526,7717,5467,2984,4468,4130,4565,74807,22,89,2709,84,90,1487,10369,2980,5033,4725,2810,1395,6855,5711,3254,10423,11941,4830
"2011","Enfield","E09000010","Total",137622,128,65,5338,380,636,10559,22131,7388,8310,6392,7225,3302,10207,7651,7592,15343,16931,8044,72313,84,41,3769,297,527,9039,12749,6154,4864,4454,3788,1764,5322,3967,3468,4029,4149,3848,65309,44,24,1569,83,109,1520,9382,1234,3446,1938,3437,1538,4885,3684,4124,11314,12782,4196
"2011","Greenwich","E09000011","Total",117821,110,104,3518,371,575,8771,14359,5839,7942,5924,9028,2151,9599,8116,7712,12018,14104,7580,62676,54,76,2476,284,504,7715,7423,4681,4137,3955,5218,1075,5006,4901,4101,3747,3631,3692,55145,56,28,1042,87,71,1056,6936,1158,3805,1969,3810,1076,4593,3215,3611,8271,10473,3888
"2011","Harrow","E09000015","Total",113900,35,123,4923,307,395,9356,19927,6279,4967,7212,7137,2033,11262,5807,5322,10882,12431,5502,61833,17,75,3128,244,343,8112,11387,4878,2872,5154,4164,1104,6141,2954,2468,2901,3256,2635,52067,18,48,1795,63,52,1244,8540,1401,2095,2058,2973,929,5121,2853,2854,7981,9175,2867
"2011","Havering","E09000016","Total",112846,97,63,6095,437,842,12972,16473,7536,3777,3924,11209,1686,7428,5326,7086,10462,12080,5353,59597,61,41,4686,379,711,11316,8263,6161,1563,2887,5633,814,3319,3023,3693,2311,2539,2197,53249,36,22,1409,58,131,1656,8210,1375,2214,1037,5576,872,4109,2303,3393,8151,9541,3156
"2011","Hillingdon","E09000017","Total",130290,109,150,6978,445,720,10567,20635,14171,7540,7311,4864,1708,8266,7739,7256,12350,13392,6089,70127,72,89,4594,353,585,9150,11181,10328,3884,5073,2557,829,4316,4279,3992,3082,2924,2839,60163,37,61,2384,92,135,1417,9454,3843,3656,2238,2307,879,3950,3460,3264,9268,10468,3250
"2011","Hounslow","E09000018","Total",127032,70,280,5020,330,491,7396,18866,14758,10612,10537,5403,1928,9360,9027,5457,9356,11219,6922,69965,40,180,3279,246,409,6465,10423,10707,5919,7075,3006,998,5016,4790,2626,2657,2764,3365,57067,30,100,1741,84,82,931,8443,4051,4693,3462,2397,930,4344,4237,2831,6699,8455,3557
"2011","Kingston upon Thames","E09000021","Total",81957,63,195,3026,301,264,4844,11922,3319,3966,6464,5076,1308,8805,4355,4608,9114,9004,5323,43316,33,143,2067,214,222,4165,6192,2629,2128,4468,3140,710,4836,2349,2468,2693,2238,2621,38641,30,52,959,87,42,679,5730,690,1838,1996,1936,598,3969,2006,2140,6421,6766,2702
"2011","Merton","E09000024","Total",104822,33,244,3212,292,348,7578,13717,4583,5575,7208,7909,1906,11764,6540,5351,9696,12278,6588,55906,24,157,2178,233,297,6690,7583,3688,3211,4845,4931,996,6361,3235,2611,2778,2969,3119,48916,9,87,1034,59,51,888,6134,895,2364,2363,2978,910,5403,3305,2740,6918,9309,3469
"2011","Redbridge","E09000026","Total",124692,56,80,4340,242,326,9184,18770,7279,5969,7078,10527,2694,10387,6377,7405,14081,14277,5620,68668,34,51,3182,197,280,8022,11016,6063,3536,5186,6123,1543,5557,3472,3518,4046,4082,2760,56024,22,29,1158,45,46,1162,7754,1216,2433,1892,4404,1151,4830,2905,3887,10035,10195,2860
"2011","Richmond upon Thames","E09000027","Total",99204,52,563,3528,423,236,4283,10320,4036,3953,11256,7260,2154,15264,4743,4556,11113,8394,7070,52434,27,394,2218,292,204,3617,5325,2774,2235,7254,4820,1128,8552,2535,2464,3244,2059,3292,46770,25,169,1310,131,32,666,4995,1262,1718,4002,2440,1026,6712,2208,2092,7869,6335,3778
"2011","Sutton","E09000029","Total",97658,87,134,3539,334,503,9572,14020,5214,3586,5231,5825,1608,7574,5368,7080,9314,13318,5351,51003,58,87,2548,286,442,8360,7559,4305,1793,3637,3095,735,3906,2853,3587,2387,3017,2348,46655,29,47,991,48,61,1212,6461,909,1793,1594,2730,873,3668,2515,3493,6927,10301,3003
"2011","Waltham Forest","E09000031","Total",121021,70,51,4216,244,622,11547,16551,6647,9290,5861,5728,2290,8280,8185,6632,13508,13666,7633,65849,29,34,3002,207,542,10347,9743,5595,5130,4024,2948,1159,4158,4264,3122,4167,3585,3793,55172,41,17,1214,37,80,1200,6808,1052,4160,1837,2780,1131,4122,3921,3510,9341,10081,3840
"2011","Bracknell Forest","E06000036","Total",61914,135,107,4184,332,356,4477,10044,3537,2920,6180,1770,816,4611,3791,3809,5402,6152,3291,32823,83,77,2835,254,285,3893,5408,2554,1292,4092,889,377,2309,2048,2385,1394,1273,1375,29091,52,30,1349,78,71,584,4636,983,1628,2088,881,439,2302,1743,1424,4008,4879,1916
"2011","Brighton and Hove","E06000043","Total",139823,151,64,5237,1152,651,8594,19167,5860,9143,8583,9367,2490,10788,7018,6213,17332,18779,9234,73383,114,45,3781,648,523,7632,9864,4519,4896,6067,5040,1269,6068,3838,3127,6055,5289,4608,66440,37,19,1456,504,128,962,9303,1341,4247,2516,4327,1221,4720,3180,3086,11277,13490,4626
"2011","Isle of Wight","E06000046","Total",59299,735,70,5335,227,351,5034,9379,2380,5393,1090,888,927,2568,2266,4047,5831,9277,3501,30678,540,59,4326,209,305,4533,4499,1850,2558,773,385,392,1418,1366,2340,1597,1973,1555,28621,195,11,1009,18,46,501,4880,530,2835,317,503,535,1150,900,1707,4234,7304,1946
"2011","Medway","E06000035","Total",126689,446,83,9603,966,1523,13857,22022,7672,5639,3398,6336,1591,5988,6408,9688,11215,14754,5500,68115,241,61,7362,813,1251,12352,11265,6338,2405,2507,3006,724,2998,3581,5343,2885,2638,2345,58574,205,22,2241,153,272,1505,10757,1334,3234,891,3330,867,2990,2827,4345,8330,12116,3155
"2011","Milton Keynes","E06000042","Total",127783,276,74,10225,272,611,7339,26365,8348,5762,8212,6704,1523,8459,6933,5742,13401,11945,5592,67910,201,63,7403,227,507,6328,14095,6575,2832,5974,3175,708,4458,3809,3019,3560,2358,2618,59873,75,11,2822,45,104,1011,12270,1773,2930,2238,3529,815,4001,3124,2723,9841,9587,2974
"2011","Portsmouth","E06000044","Total",96619,127,41,8426,1303,656,8065,14303,4664,6629,3541,2614,1145,3887,5547,9324,9763,12147,4437,51505,92,38,6390,746,537,7332,7002,3703,3228,2523,1092,536,2246,2942,5613,2934,2557,1994,45114,35,3,2036,557,119,733,7301,961,3401,1018,1522,609,1641,2605,3711,6829,9590,2443
"2011","Reading","E06000038","Total",79852,109,260,3949,466,890,4955,12396,3644,4719,8887,3290,821,7243,4586,3714,7763,8708,3452,43186,64,170,2826,365,553,4428,6519,2984,2296,6261,1751,388,4053,2556,1944,2407,2030,1591,36666,45,90,1123,101,337,527,5877,660,2423,2626,1539,433,3190,2030,1770,5356,6678,1861
"2011","Slough","E06000039","Total",67300,101,52,5437,358,469,4082,11088,8469,4667,4747,1751,556,3336,5393,2434,4774,6909,2677,37144,73,39,3570,257,391,3629,6188,6364,2413,3282,854,255,1705,2906,1150,1173,1599,1296,30156,28,13,1867,101,78,453,4900,2105,2254,1465,897,301,1631,2487,1284,3601,5310,1381
"2011","Southampton","E06000045","Total",112608,240,84,9556,735,739,8900,19642,7505,7242,3370,4702,1303,6375,5846,4677,11639,15091,4962,60632,143,65,7218,458,634,8046,10349,5974,3525,2527,2128,586,3499,3181,2369,4140,3567,2223,51976,97,19,2338,277,105,854,9293,1531,3717,843,2574,717,2876,2665,2308,7499,11524,2739
"2011","West Berkshire","E06000037","Total",81679,762,136,6414,557,754,6317,12911,3012,3607,8668,2878,1286,6774,4107,4641,7889,6794,4172,43640,562,105,4574,424,562,5439,6821,2434,1569,5775,1550,584,3642,2249,2758,1674,1116,1802,38039,200,31,1840,133,192,878,6090,578,2038,2893,1328,702,3132,1858,1883,6215,5678,2370
