"date","geography","geography code","Rural Urban","Sex: All persons; Industry: All categories: Industry; measures: Value","Sex: All persons; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: All persons; Industry: B Mining and quarrying; measures: Value","Sex: All persons; Industry: C Manufacturing; measures: Value","Sex: All persons; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: All persons; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: All persons; Industry: F Construction; measures: Value","Sex: All persons; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: All persons; Industry: H Transport and storage; measures: Value","Sex: All persons; Industry: I Accommodation and food service activities; measures: Value","Sex: All persons; Industry: J Information and communication; measures: Value","Sex: All persons; Industry: K Financial and insurance activities; measures: Value","Sex: All persons; Industry: L Real estate activities; measures: Value","Sex: All persons; Industry: M Professional, scientific and technical activities; measures: Value","Sex: All persons; Industry: N Administrative and support service activities; measures: Value","Sex: All persons; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: All persons; Industry: P Education; measures: Value","Sex: All persons; Industry: Q Human health and social work activities; measures: Value","Sex: All persons; Industry: R, S, T, U Other; measures: Value","Sex: Males; Industry: All categories: Industry; measures: Value","Sex: Males; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: Males; Industry: B Mining and quarrying; measures: Value","Sex: Males; Industry: C Manufacturing; measures: Value","Sex: Males; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: Males; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: Males; Industry: F Construction; measures: Value","Sex: Males; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: Males; Industry: H Transport and storage; measures: Value","Sex: Males; Industry: I Accommodation and food service activities; measures: Value","Sex: Males; Industry: J Information and communication; measures: Value","Sex: Males; Industry: K Financial and insurance activities; measures: Value","Sex: Males; Industry: L Real estate activities; measures: Value","Sex: Males; Industry: M Professional, scientific and technical activities; measures: Value","Sex: Males; Industry: N Administrative and support service activities; measures: Value","Sex: Males; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: Males; Industry: P Education; measures: Value","Sex: Males; Industry: Q Human health and social work activities; measures: Value","Sex: Males; Industry: R, S, T, U Other; measures: Value","Sex: Females; Industry: All categories: Industry; measures: Value","Sex: Females; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: Females; Industry: B Mining and quarrying; measures: Value","Sex: Females; Industry: C Manufacturing; measures: Value","Sex: Females; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: Females; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: Females; Industry: F Construction; measures: Value","Sex: Females; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: Females; Industry: H Transport and storage; measures: Value","Sex: Females; Industry: I Accommodation and food service activities; measures: Value","Sex: Females; Industry: J Information and communication; measures: Value","Sex: Females; Industry: K Financial and insurance activities; measures: Value","Sex: Females; Industry: L Real estate activities; measures: Value","Sex: Females; Industry: M Professional, scientific and technical activities; measures: Value","Sex: Females; Industry: N Administrative and support service activities; measures: Value","Sex: Females; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: Females; Industry: P Education; measures: Value","Sex: Females; Industry: Q Human health and social work activities; measures: Value","Sex: Females; Industry: R, S, T, U Other; measures: Value"
"2011","Hart","E07000089","Total",48047,188,115,3350,188,278,3280,6818,2098,2120,4975,2212,611,4358,2496,4011,4537,4104,2308,26001,114,99,2362,149,228,2774,3512,1548,973,3472,1235,296,2477,1381,2787,971,688,935,22046,74,16,988,39,50,506,3306,550,1147,1503,977,315,1881,1115,1224,3566,3416,1373
"2011","Havant","E07000090","Total",55555,128,27,6457,873,546,5851,9228,2392,2718,2111,1413,670,2488,2980,3576,5008,6592,2497,29179,88,25,4650,468,433,5298,4538,1864,1143,1525,619,296,1319,1572,2078,1287,1068,908,26376,40,2,1807,405,113,553,4690,528,1575,586,794,374,1169,1408,1498,3721,5524,1589
"2011","New Forest","E07000091","Total",82993,863,130,7424,524,627,7409,12666,3990,5243,2613,3015,1402,5688,3871,4437,7760,10870,4461,43254,605,113,5900,422,502,6354,6696,3013,2335,1897,1458,588,3073,2143,2465,1937,1951,1802,39739,258,17,1524,102,125,1055,5970,977,2908,716,1557,814,2615,1728,1972,5823,8919,2659
"2011","Rushmoor","E07000092","Total",51087,51,44,3572,213,366,3785,8072,2550,2751,3189,1907,519,3062,3457,5903,3712,5637,2297,27487,33,30,2527,165,304,3336,4241,2002,1231,2141,852,233,1599,1834,4069,935,997,958,23600,18,14,1045,48,62,449,3831,548,1520,1048,1055,286,1463,1623,1834,2777,4640,1339
"2011","Test Valley","E07000093","Total",59611,897,42,5812,210,357,4436,9541,2439,2466,3007,3495,957,4063,2677,4611,5595,6245,2761,31602,641,37,4185,158,297,3801,5045,1894,1061,2161,1559,459,2276,1516,2837,1407,1186,1082,28009,256,5,1627,52,60,635,4496,545,1405,846,1936,498,1787,1161,1774,4188,5059,1679
"2011","Winchester","E07000094","Total",57318,922,60,3482,220,322,3812,7444,2004,3047,3703,2159,965,5290,2535,4545,6817,7160,2831,30063,635,46,2554,163,267,3252,3864,1538,1394,2715,1306,456,2992,1501,2589,1948,1651,1192,27255,287,14,928,57,55,560,3580,466,1653,988,853,509,2298,1034,1956,4869,5509,1639
"2011","Ashford","E07000105","Total",57546,951,47,4986,382,432,5930,9845,3070,2955,1710,1935,650,3519,3155,2891,5002,7255,2831,30334,651,42,3565,316,357,5165,4918,2422,1227,1187,1107,307,1871,1734,1551,1232,1440,1242,27212,300,5,1421,66,75,765,4927,648,1728,523,828,343,1648,1421,1340,3770,5815,1589
"2011","Canterbury","E07000106","Total",65620,545,28,3341,209,350,5415,11063,2546,4282,1734,1725,778,3810,2569,3725,10669,9546,3285,33751,359,23,2466,190,306,4797,5848,2094,1978,1260,960,378,2063,1459,2350,3585,2201,1434,31869,186,5,875,19,44,618,5215,452,2304,474,765,400,1747,1110,1375,7084,7345,1851
"2011","Dartford","E07000107","Total",49611,106,44,3202,252,518,5337,8721,3285,2084,1747,2922,733,3005,2515,3041,4041,5852,2206,26308,69,33,2412,206,451,4552,4416,2645,965,1259,1525,327,1386,1423,1615,916,1203,905,23303,37,11,790,46,67,785,4305,640,1119,488,1397,406,1619,1092,1426,3125,4649,1301
"2011","Dover","E07000108","Total",50396,641,42,2951,211,328,4241,7241,5014,2718,826,1209,504,2714,2565,4444,5202,7179,2366,26602,454,37,2104,193,277,3831,3665,3882,1232,627,506,195,1457,1539,2509,1546,1519,1029,23794,187,5,847,18,51,410,3576,1132,1486,199,703,309,1257,1026,1935,3656,5660,1337
"2011","Gravesham","E07000109","Total",47639,392,52,3568,301,389,5689,8840,3147,2229,1316,2237,675,2468,2586,2647,4253,4773,2077,25589,176,44,2669,269,316,5048,4413,2567,991,969,1115,287,1191,1447,1425,1011,823,828,22050,216,8,899,32,73,641,4427,580,1238,347,1122,388,1277,1139,1222,3242,3950,1249
"2011","Maidstone","E07000110","Total",78090,1066,61,5163,456,688,8308,12733,3798,3600,2579,3775,1073,4890,4178,6204,6951,9039,3528,41797,699,48,3778,377,531,7193,6914,2975,1551,1856,2127,474,2634,2285,3326,1790,1819,1420,36293,367,13,1385,79,157,1115,5819,823,2049,723,1648,599,2256,1893,2878,5161,7220,2108
"2011","Sevenoaks","E07000111","Total",56015,435,93,3160,214,316,5261,8203,2343,2111,2617,4899,1116,5597,2868,2889,5523,5371,2999,29941,300,70,2307,183,250,4387,4259,1819,928,1840,3135,544,3074,1667,1629,1289,1034,1226,26074,135,23,853,31,66,874,3944,524,1183,777,1764,572,2523,1201,1260,4234,4337,1773
"2011","Folkestone and Hythe","E07000112","Total",48280,496,39,2497,857,429,4671,7431,3102,2886,964,2357,529,2134,2946,3674,4311,6818,2139,25704,337,36,1784,753,319,4199,3894,2465,1317,689,1114,234,1126,1618,2333,1099,1431,956,22576,159,3,713,104,110,472,3537,637,1569,275,1243,295,1008,1328,1341,3212,5387,1183
"2011","Swale","E07000113","Total",62810,932,45,6495,305,666,6677,10356,3939,2795,1409,2220,873,3094,3063,4468,5960,6826,2687,33604,567,36,4934,272,555,5842,5355,3169,1084,1007,1135,326,1571,1669,2407,1471,1139,1065,29206,365,9,1561,33,111,835,5001,770,1711,402,1085,547,1523,1394,2061,4489,5687,1622
"2011","Thanet","E07000114","Total",55200,469,19,4120,343,356,5210,8950,2738,3200,1050,1537,731,2734,2517,2870,6533,9059,2764,28293,299,14,3062,300,312,4696,4478,2302,1422,728,761,327,1389,1478,1581,1852,2091,1201,26907,170,5,1058,43,44,514,4472,436,1778,322,776,404,1345,1039,1289,4681,6968,1563
"2011","Tonbridge and Malling","E07000115","Total",59993,402,77,4070,247,635,5685,9643,2850,2408,2367,4286,871,4581,3137,3384,6153,6288,2909,31691,262,56,3032,212,480,4858,5222,2226,976,1666,2565,384,2447,1696,1811,1464,1177,1157,28302,140,21,1038,35,155,827,4421,624,1432,701,1721,487,2134,1441,1573,4689,5111,1752
"2011","Tunbridge Wells","E07000116","Total",57234,716,63,2796,189,250,4452,8934,2002,2644,2953,5345,922,5460,2882,2146,5765,6790,2925,30865,481,55,2055,155,218,3924,4751,1594,1372,2081,3311,433,3113,1657,1214,1541,1628,1282,26369,235,8,741,34,32,528,4183,408,1272,872,2034,489,2347,1225,932,4224,5162,1643
"2011","Cherwell","E07000177","Total",74829,867,34,8621,262,473,5519,13217,3380,3253,3655,1827,808,4971,3401,5022,7836,7864,3819,39567,601,32,6434,193,371,4869,6710,2608,1488,2310,827,356,2697,1767,2853,2275,1357,1819,35262,266,2,2187,69,102,650,6507,772,1765,1345,1000,452,2274,1634,2169,5561,6507,2000
"2011","Oxford","E07000178","Total",69807,108,22,3534,321,206,2826,7722,2241,4767,4595,872,643,6544,2450,2222,16452,10536,3746,36187,63,15,2878,205,181,2544,4079,1917,2512,2742,534,311,3748,1347,1115,7170,2957,1869,33620,45,7,656,116,25,282,3643,324,2255,1853,338,332,2796,1103,1107,9282,7579,1877
"2011","South Oxfordshire","E07000179","Total",70087,723,119,5044,484,700,5271,10157,2544,3101,5025,1961,985,7916,3289,4458,7580,7103,3627,37187,512,94,3593,385,528,4600,5383,1949,1398,3378,1128,483,4247,1817,2881,1991,1311,1509,32900,211,25,1451,99,172,671,4774,595,1703,1647,833,502,3669,1472,1577,5589,5792,2118
"2011","Vale of White Horse","E07000180","Total",63181,601,111,4803,457,484,4923,8635,1974,2520,4016,1356,878,6973,2628,4834,8667,6178,3143,33743,431,87,3595,365,393,4258,4641,1555,1068,2559,741,408,3947,1445,3094,2700,1081,1375,29438,170,24,1208,92,91,665,3994,419,1452,1457,615,470,3026,1183,1740,5967,5097,1768
"2011","West Oxfordshire","E07000181","Total",56515,750,89,5130,199,369,4565,8493,1825,2559,2970,1263,893,4497,2308,5186,6644,5689,3086,29919,524,75,3757,153,305,4028,4368,1404,1109,1833,644,403,2375,1255,3396,1948,993,1349,26596,226,14,1373,46,64,537,4125,421,1450,1137,619,490,2122,1053,1790,4696,4696,1737
"2011","Elmbridge","E07000207","Total",64730,137,324,3256,255,242,3825,8248,2750,2437,5541,4975,1391,8770,3650,2775,6292,5712,4150,34706,81,260,2127,192,212,3200,4465,1892,1272,3850,3501,700,5048,2000,1529,1515,1099,1763,30024,56,64,1129,63,30,625,3783,858,1165,1691,1474,691,3722,1650,1246,4777,4613,2387
"2011","Epsom and Ewell","E07000208","Total",38005,39,93,1423,135,174,3168,5154,1641,1381,2259,2684,661,3931,1883,2295,3836,5042,2206,19954,20,70,970,108,149,2698,2678,1308,678,1615,1641,348,2162,1035,1299,1017,1180,978,18051,19,23,453,27,25,470,2476,333,703,644,1043,313,1769,848,996,2819,3862,1228
"2011","Guildford","E07000209","Total",70021,219,220,3820,243,373,4901,9818,2521,3432,5341,3560,1078,7526,3414,4179,7964,7404,4008,37615,145,173,2688,196,316,4234,5315,1899,1657,3834,2257,542,4213,1924,2552,2348,1484,1838,32406,74,47,1132,47,57,667,4503,622,1775,1507,1303,536,3313,1490,1627,5616,5920,2170
"2011","Mole Valley","E07000210","Total",42422,322,177,2102,134,204,3493,5379,1611,1806,2565,2801,909,4935,2497,2049,4463,4380,2595,22571,203,135,1455,109,163,2941,2972,1178,881,1847,1690,459,2854,1434,1158,1096,878,1118,19851,119,42,647,25,41,552,2407,433,925,718,1111,450,2081,1063,891,3367,3502,1477
"2011","Reigate and Banstead","E07000211","Total",71236,173,135,3270,345,399,5915,9487,4481,3031,3771,6325,1209,6282,4209,3792,6325,8743,3344,37728,114,98,2298,231,326,4996,5163,3165,1543,2694,3548,592,3543,2311,2097,1605,1943,1461,33508,59,37,972,114,73,919,4324,1316,1488,1077,2777,617,2739,1898,1695,4720,6800,1883
"2011","Runnymede","E07000212","Total",40651,109,160,2426,259,199,2915,6344,3518,2135,2765,1358,586,3313,2223,1905,3788,4182,2466,21477,63,112,1599,167,160,2477,3430,2443,1019,1849,763,266,1793,1202,1042,1071,883,1138,19174,46,48,827,92,39,438,2914,1075,1116,916,595,320,1520,1021,863,2717,3299,1328
"2011","Spelthorne","E07000213","Total",50161,52,181,2661,383,351,3730,7347,7520,2193,3414,1806,718,3167,2924,2843,3967,4291,2613,26489,39,115,1768,263,281,3154,3864,5118,1009,2264,842,310,1634,1520,1537,897,748,1126,23672,13,66,893,120,70,576,3483,2402,1184,1150,964,408,1533,1404,1306,3070,3543,1487
"2011","Surrey Heath","E07000214","Total",44968,76,125,3056,190,282,3225,6561,2734,1960,3817,1893,706,3792,2524,3013,3766,4856,2392,24164,50,95,2152,135,218,2717,3563,1910,975,2669,1100,337,2134,1386,1855,858,957,1053,20804,26,30,904,55,64,508,2998,824,985,1148,793,369,1658,1138,1158,2908,3899,1339
"2011","Tandridge","E07000215","Total",41813,257,43,1912,149,256,4043,5602,1965,1488,2085,3477,744,3974,2251,2459,4166,4676,2266,21975,159,34,1361,121,210,3345,3052,1426,693,1415,2018,363,2163,1293,1349,979,999,995,19838,98,9,551,28,46,698,2550,539,795,670,1459,381,1811,958,1110,3187,3677,1271
"2011","Waverley","E07000216","Total",59178,340,141,3072,206,222,4376,8105,1917,2508,4438,3241,1008,6998,3131,2639,7212,6058,3566,31643,235,119,2169,169,179,3786,4427,1460,1193,3192,2155,520,3990,1869,1486,1955,1214,1525,27535,105,22,903,37,43,590,3678,457,1315,1246,1086,488,3008,1262,1153,5257,4844,2041
"2011","Woking","E07000217","Total",51341,90,191,3038,180,272,3275,7593,2787,2089,4217,2970,688,5509,2937,2714,4222,5321,3248,28025,53,130,2125,134,240,2775,4247,2195,1059,2979,1929,339,3050,1679,1444,1020,1128,1499,23316,37,61,913,46,32,500,3346,592,1030,1238,1041,349,2459,1258,1270,3202,4193,1749
"2011","Adur","E07000223","Total",29356,70,23,2417,447,292,2877,4966,1509,1186,891,1613,461,1562,1332,1393,2687,4171,1459,15301,51,19,1792,244,203,2604,2658,1172,586,669,723,208,809,775,688,778,712,610,14055,19,4,625,203,89,273,2308,337,600,222,890,253,753,557,705,1909,3459,849
"2011","Arun","E07000224","Total",67443,1241,55,5896,292,692,5806,11500,3005,4339,1899,2174,1052,3339,3509,3618,5604,9711,3711,34913,756,51,4260,224,523,5187,6134,2339,2093,1304,1091,493,1707,2022,1836,1425,1909,1559,32530,485,4,1636,68,169,619,5366,666,2246,595,1083,559,1632,1487,1782,4179,7802,2152
"2011","Chichester","E07000225","Total",53285,1141,49,3830,148,248,4189,8098,1774,3424,2098,1633,1085,3869,2738,3262,5452,7101,3146,27815,823,43,2818,113,209,3658,4186,1364,1627,1445,943,548,2131,1558,1937,1521,1491,1400,25470,318,6,1012,35,39,531,3912,410,1797,653,690,537,1738,1180,1325,3931,5610,1746
"2011","Crawley","E07000226","Total",55466,50,92,3625,507,271,3452,9421,8601,4453,2099,2803,459,2471,4344,2438,3337,4996,2047,29560,33,53,2625,291,238,2977,4659,5794,2247,1511,1294,197,1343,2260,1312,785,1006,935,25906,17,39,1000,216,33,475,4762,2807,2206,588,1509,262,1128,2084,1126,2552,3990,1112
"2011","Horsham","E07000227","Total",66299,799,94,5031,314,394,5081,10195,4047,2762,3222,4074,1194,5506,3738,2948,6390,6742,3768,34830,508,78,3628,222,297,4330,5414,2800,1227,2305,2338,519,3006,2061,1688,1592,1287,1530,31469,291,16,1403,92,97,751,4781,1247,1535,917,1736,675,2500,1677,1260,4798,5455,2238
"2011","Mid Sussex","E07000228","Total",72229,459,85,4124,390,377,5509,9702,4673,3173,3593,5583,1012,5588,4108,3222,7269,9393,3969,38103,326,68,3092,267,318,4725,5261,3211,1570,2531,3375,517,3225,2188,1895,1905,1990,1639,34126,133,17,1032,123,59,784,4441,1462,1603,1062,2208,495,2363,1920,1327,5364,7403,2330
"2011","Worthing","E07000229","Total",50611,165,26,4266,611,741,3699,7972,2100,2238,1840,2831,747,2807,2387,3115,4086,8468,2512,26218,116,24,3199,363,442,3333,4386,1630,1156,1371,1490,329,1506,1359,1566,1090,1799,1059,24393,49,2,1067,248,299,366,3586,470,1082,469,1341,418,1301,1028,1549,2996,6669,1453
"2011","Bath and North East Somerset","E06000022","Total",84858,558,112,6024,334,792,6210,12476,2684,5620,4399,2868,1270,6627,3315,5555,10783,10928,4303,44083,410,95,4631,295,588,5484,6075,2160,2555,3104,1594,595,3683,1916,3149,3507,2376,1866,40775,148,17,1393,39,204,726,6401,524,3065,1295,1274,675,2944,1399,2406,7276,8552,2437
"2011","Bournemouth","E06000028","Total",89186,138,72,6151,211,415,6530,15229,3763,7285,3190,7813,1603,4513,3936,3359,7914,12271,4793,47594,87,66,4821,189,350,5877,7978,3012,3889,2376,4066,795,2478,2263,1757,2522,2868,2200,41592,51,6,1330,22,65,653,7251,751,3396,814,3747,808,2035,1673,1602,5392,9403,2593
"2011","Bristol, City of","E06000023","Total",209995,208,142,13609,808,1409,13864,30464,9077,12308,11087,12658,2691,17623,10993,11427,22801,29324,9502,110813,121,123,10648,660,1138,12289,16085,7470,6158,7563,6238,1277,9625,6188,6000,7721,7163,4346,99182,87,19,2961,148,271,1575,14379,1607,6150,3524,6420,1414,7998,4805,5427,15080,22161,5156
"2011","Cornwall","E06000052","Total",244527,7351,1598,19279,868,1862,21957,41126,9146,22376,4244,3728,3462,11558,10635,15518,23774,33071,12974,127776,5415,1448,14500,722,1602,19905,20904,7206,9575,2957,1626,1537,5985,6097,9491,6368,6937,5501,116751,1936,150,4779,146,260,2052,20222,1940,12801,1287,2102,1925,5573,4538,6027,17406,26134,7473
"2011","Isles of Scilly","E06000053","Total",1311,75,5,40,6,11,95,134,131,313,7,13,28,22,78,78,107,105,63,694,49,5,29,5,11,90,58,100,157,5,5,18,13,48,25,28,20,28,617,26,0,11,1,0,5,76,31,156,2,8,10,9,30,53,79,85,35
"2011","North Somerset","E06000024","Total",97563,890,164,7998,432,1049,7585,16703,4686,4857,3585,5085,1562,6443,4340,6126,8663,12883,4512,51037,615,130,6147,384,665,6585,8947,3728,2115,2607,2618,659,3482,2481,3352,2293,2348,1881,46526,275,34,1851,48,384,1000,7756,958,2742,978,2467,903,2961,1859,2774,6370,10535,2631
"2011","Plymouth","E06000026","Total",117466,222,188,11493,877,642,8733,18796,6354,7066,2756,2342,1604,4561,4947,12772,11951,16819,5343,61712,160,172,9238,567,557,7935,9156,4875,3174,1804,902,765,2339,2829,8257,3373,3484,2125,55754,62,16,2255,310,85,798,9640,1479,3892,952,1440,839,2222,2118,4515,8578,13335,3218
"2011","Poole","E06000029","Total",71709,128,105,8056,242,578,6105,12080,2901,3579,2175,4653,1276,3647,3151,3758,5983,9708,3584,38189,101,98,6314,214,464,5361,6136,2301,1690,1638,2276,592,1954,1711,2173,1689,1982,1495,33520,27,7,1742,28,114,744,5944,600,1889,537,2377,684,1693,1440,1585,4294,7726,2089
"2011","South Gloucestershire","E06000025","Total",136531,759,225,13336,912,983,11797,22296,6642,5591,5819,8753,1632,7876,5972,10383,11461,16784,5310,72052,537,164,10592,754,779,10180,11755,5172,2414,4208,3883,709,4134,3295,5675,2806,2859,2136,64479,222,61,2744,158,204,1617,10541,1470,3177,1611,4870,923,3742,2677,4708,8655,13925,3174
"2011","Swindon","E06000030","Total",109499,272,79,12360,961,1250,8117,19787,7119,5344,5357,8231,1029,5848,6379,5001,8007,9872,4486,59034,185,64,9629,654,730,7239,10258,5360,2314,3966,3655,424,3026,3312,2810,1908,1625,1875,50465,87,15,2731,307,520,878,9529,1759,3030,1391,4576,605,2822,3067,2191,6099,8247,2611
"2011","Torbay","E06000027","Total",56912,331,61,3764,261,405,5116,10135,2216,5837,964,1133,954,2390,2257,3034,5024,9874,3156,29353,256,55,2960,206,355,4656,5337,1807,2893,706,497,418,1239,1388,1645,1359,2203,1373,27559,75,6,804,55,50,460,4798,409,2944,258,636,536,1151,869,1389,3665,7671,1783
"2011","Wiltshire","E06000054","Total",239216,4105,245,21693,951,1685,17274,35563,8512,12266,10236,7601,3401,16091,10678,29723,22352,25598,11242,128455,2988,211,15949,767,1373,15240,18192,6666,5051,7170,3725,1462,8726,5878,20678,5496,4335,4548,110761,1117,34,5744,184,312,2034,17371,1846,7215,3066,3876,1939,7365,4800,9045,16856,21263,6694
"2011","East Devon","E07000040","Total",59908,1836,73,3799,508,514,5107,9766,2362,4342,1470,1410,876,3712,2527,4523,5613,8228,3242,31355,1334,68,2812,259,389,4466,5135,1853,1974,1030,663,390,2009,1554,2955,1615,1548,1301,28553,502,5,987,249,125,641,4631,509,2368,440,747,486,1703,973,1568,3998,6680,1941
"2011","Exeter","E07000041","Total",57139,189,48,2761,844,625,3961,9590,2725,4031,1699,1434,859,3772,2488,3783,6847,8671,2812,29331,127,46,2159,461,435,3567,4994,2232,1816,1171,711,389,2059,1458,1949,2412,2108,1237,27808,62,2,602,383,190,394,4596,493,2215,528,723,470,1713,1030,1834,4435,6563,1575
"2011","Mid Devon","E07000042","Total",38508,2338,48,3957,269,320,3451,6445,1814,1631,772,740,520,2365,1492,2012,3768,4748,1818,20226,1640,45,2910,148,259,3060,3413,1411,613,530,339,222,1204,858,979,1027,859,709,18282,698,3,1047,121,61,391,3032,403,1018,242,401,298,1161,634,1033,2741,3889,1109
"2011","North Devon","E07000043","Total",44754,1939,50,4863,160,316,3813,7669,1290,4375,644,623,585,1935,1983,2510,4032,5850,2117,23675,1375,46,3624,139,278,3451,3821,1055,1953,470,274,263,959,1082,1752,1061,1192,880,21079,564,4,1239,21,38,362,3848,235,2422,174,349,322,976,901,758,2971,4658,1237
"2011","South Hams","E07000044","Total",39999,1395,117,2904,155,214,3469,5876,1310,3051,1028,679,754,2582,1698,2734,4587,5317,2129,20817,1008,106,2192,124,193,3048,2907,1004,1352,686,323,344,1388,973,1812,1345,1163,849,19182,387,11,712,31,21,421,2969,306,1699,342,356,410,1194,725,922,3242,4154,1280
"2011","Teignbridge","E07000045","Total",58962,1017,275,3987,368,506,5379,10246,2303,3930,1351,1265,966,3624,2463,3624,5860,8802,2996,30456,710,244,3003,252,408,4752,5353,1842,1742,926,614,428,1884,1523,2014,1579,1966,1216,28506,307,31,984,116,98,627,4893,461,2188,425,651,538,1740,940,1610,4281,6836,1780
"2011","Torridge","E07000046","Total",29402,2190,43,3363,88,198,2927,4896,1042,1924,418,396,381,1390,1109,1126,2630,3912,1369,15550,1615,43,2575,77,168,2650,2508,818,712,291,153,171,638,640,631,655,686,519,13852,575,0,788,11,30,277,2388,224,1212,127,243,210,752,469,495,1975,3226,850
"2011","West Devon","E07000047","Total",25241,1462,68,2102,99,227,2053,3684,938,1979,577,406,380,1432,925,1557,2649,3463,1240,13105,1008,63,1570,79,193,1798,1919,724,785,384,182,161,772,506,941,750,756,514,12136,454,5,532,20,34,255,1765,214,1194,193,224,219,660,419,616,1899,2707,726
"2011","Christchurch","E07000048","Total",20301,94,14,1618,50,118,1866,3469,865,1316,693,1125,463,1142,793,920,1938,2762,1055,10666,81,14,1253,44,95,1660,1829,703,607,502,581,211,603,482,543,503,509,446,9635,13,0,365,6,23,206,1640,162,709,191,544,252,539,311,377,1435,2253,609
"2011","East Dorset","E07000049","Total",40050,504,41,3820,145,275,3818,6763,1436,1717,1323,2205,759,2532,1760,2096,3971,4766,2119,21088,376,35,2899,111,225,3250,3539,1122,708,987,1184,331,1381,1052,1167,1024,863,834,18962,128,6,921,34,50,568,3224,314,1009,336,1021,428,1151,708,929,2947,3903,1285
"2011","North Dorset","E07000050","Total",33432,1280,47,3504,87,245,3172,4942,1082,1379,750,664,555,1740,1330,3383,3974,3378,1920,18230,929,43,2554,81,207,2813,2568,817,582,542,345,249,857,764,2362,1133,562,822,15202,351,4,950,6,38,359,2374,265,797,208,319,306,883,566,1021,2841,2816,1098
"2011","Purbeck","E07000051","Total",21419,423,139,1904,112,205,1838,2929,718,1780,523,643,339,1098,886,2027,1936,2583,1336,11462,328,126,1462,104,184,1606,1451,568,749,371,309,154,587,505,1380,526,464,588,9957,95,13,442,8,21,232,1478,150,1031,152,334,185,511,381,647,1410,2119,748
"2011","West Dorset","E07000052","Total",45714,1863,82,3999,101,329,3810,6792,1228,3148,982,708,786,2565,1934,3680,4632,6652,2423,23910,1378,75,3031,85,282,3400,3488,983,1357,698,352,391,1453,1162,2130,1288,1349,1008,21804,485,7,968,16,47,410,3304,245,1791,284,356,395,1112,772,1550,3344,5303,1415
"2011","Weymouth and Portland","E07000053","Total",29987,147,84,2621,80,262,2459,4653,1224,2708,540,385,444,1246,1091,3669,2632,4255,1487,15874,115,78,2085,75,243,2248,2261,962,1291,414,172,217,755,652,2203,688,788,627,14113,32,6,536,5,19,211,2392,262,1417,126,213,227,491,439,1466,1944,3467,860
"2011","Cheltenham","E07000078","Total",59183,132,102,5674,482,222,3510,8908,1434,3643,2908,3255,716,4136,2828,4958,6562,7082,2631,31276,79,84,4281,352,184,3089,4637,1153,1760,2081,1750,320,2334,1491,3062,1921,1566,1132,27907,53,18,1393,130,38,421,4271,281,1883,827,1505,396,1802,1337,1896,4641,5516,1499
"2011","Cotswold","E07000079","Total",41529,1316,142,3445,281,271,3335,6550,1272,3028,1836,1462,807,3531,1968,1854,4024,3850,2557,21988,948,117,2593,215,226,2904,3267,1005,1306,1276,799,383,1911,1085,1198,1059,692,1004,19541,368,25,852,66,45,431,3283,267,1722,560,663,424,1620,883,656,2965,3158,1553
"2011","Forest of Dean","E07000080","Total",39068,986,70,5275,241,364,3721,6008,1578,1740,1069,1151,514,2031,1763,2289,3640,4808,1820,20801,720,58,4007,195,308,3335,3176,1195,628,758,463,209,1035,975,1329,866,884,660,18267,266,12,1268,46,56,386,2832,383,1112,311,688,305,996,788,960,2774,3924,1160
"2011","Gloucester","E07000081","Total",61374,143,69,6894,826,422,4796,10513,2877,2924,1771,3437,654,2623,2752,4390,4915,9021,2347,32162,96,59,5407,558,366,4297,5423,2342,1305,1323,1418,302,1441,1534,2229,1305,1776,981,29212,47,10,1487,268,56,499,5090,535,1619,448,2019,352,1182,1218,2161,3610,7245,1366
"2011","Stroud","E07000082","Total",57342,768,137,7227,880,594,4903,8076,1793,2597,2304,1884,727,4290,2397,2930,6111,7046,2678,30419,558,113,5484,629,453,4258,4237,1415,1031,1642,920,325,2402,1369,1539,1662,1335,1047,26923,210,24,1743,251,141,645,3839,378,1566,662,964,402,1888,1028,1391,4449,5711,1631
"2011","Tewkesbury","E07000083","Total",41544,611,56,5132,385,280,2988,6117,1333,2132,1465,2113,522,2656,1827,3640,3866,4582,1839,21884,433,51,3846,283,233,2544,3108,1065,906,1038,996,211,1475,1011,2225,973,776,710,19660,178,5,1286,102,47,444,3009,268,1226,427,1117,311,1181,816,1415,2893,3806,1129
