"date","geography","geography code","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"2011","South Ribble","E07000126","Total",55761,4689,10741,34248,6083,28782,1435,2358,20190,4799,26979,3254,8383,14058,1284
"2011","West Lancashire","E07000127","Total",51694,5455,10604,28980,6655,26687,1669,2453,17344,5221,25007,3786,8151,11636,1434
"2011","Wyre","E07000128","Total",48558,4680,10561,27212,6105,25064,1512,2631,16073,4848,23494,3168,7930,11139,1257
"2011","Knowsley","E08000011","Total",61691,4568,13958,38150,5015,30539,1389,3030,22186,3934,31152,3179,10928,15964,1081
"2011","Liverpool","E08000012","Total",196630,19406,43241,115892,18091,100361,7300,12624,66989,13448,96269,12106,30617,48903,4643
"2011","Sefton","E08000014","Total",121919,11493,26988,70442,12996,61647,3694,6736,41108,10109,60272,7799,20252,29334,2887
"2011","St. Helens","E08000013","Total",78580,6183,16002,48746,7649,40707,1874,3578,29257,5998,37873,4309,12424,19489,1651
"2011","Wirral","E08000015","Total",139929,12300,30867,82162,14600,71103,3796,7598,48654,11055,68826,8504,23269,33508,3545
"2011","East Riding of Yorkshire","E06000011","Total",158757,16393,32908,86161,23295,83196,4669,7187,52837,18503,75561,11724,25721,33324,4792
"2011","Kingston upon Hull, City of","E06000010","Total",110903,9944,24914,65873,10172,58850,3186,5971,41326,8367,52053,6758,18943,24547,1805
"2011","North East Lincolnshire","E06000012","Total",70776,6595,16330,38803,9048,37659,1700,3651,24647,7661,33117,4895,12679,14156,1387
"2011","North Lincolnshire","E06000013","Total",78101,7073,15950,44769,10309,42032,1862,3203,28464,8503,36069,5211,12747,16305,1806
"2011","York","E06000014","Total",98721,11487,20822,55400,11012,50608,3751,5234,33319,8304,48113,7736,15588,22081,2708
"2011","Craven","E07000163","Total",27600,2974,5504,14293,4829,14316,813,1284,8472,3747,13284,2161,4220,5821,1082
